1600428811437,57,16
1600428811454,65,36
1600428811471,78,91
1600428811488,82,109
1600428811503,94,95
1600428811521,107,88
1600428811538,126,89
1600428811552,135,94
1600428811569,142,99
1600428811586,154,112
1600428811604,157,120
1600428811620,156,119
1600428811637,154,119
1600428811655,152,127
1600428811670,151,130
1600428811687,145,136
1600428811704,142,149
1600428811721,140,140
1600428811737,143,141
1600428811754,144,152
1600428811769,145,154
1600428811786,141,164
1600428811804,144,173
1600428811820,144,177
1600428811837,142,187
1600428811853,142,189
1600428811870,141,192
1600428811887,143,197
1600428811904,147,207
1600428811920,148,213
1600428811936,149,229
1600428811954,147,237
1600428811970,145,242
1600428811986,148,247
1600428812003,149,253
1600428812020,148,257
1600428812039,148,263
1600428812053,148,262
1600428812070,146,259
1600428812086,147,260
1600428812103,148,262
1600428812120,150,263
1600428812137,154,262
1600428812153,154,262
1600428812170,154,261
1600428812187,152,260
1600428812203,154,261
1600428812220,157,262
1600428812237,158,267
1600428812254,158,272
1600428812272,158,281
1600428812287,158,287
1600428812304,158,296
1600428812320,157,299
1600428812337,147,284
1600428812354,156,293
1600428812369,159,303
1600428812386,150,305
1600428812403,149,313
1600428812420,147,315
1600428812437,146,318
1600428812453,145,319
1600428812470,146,324
1600428812487,147,327
1600428812504,145,331
1600428812520,144,333
1600428812537,144,339
1600428812554,144,343
1600428812570,143,347
1600428812587,143,355
1600428812604,143,357
1600428812620,144,356
1600428812637,146,353
1600428812653,146,353
1600428812670,146,351
1600428812689,148,353
1600428812704,148,352
1600428812720,149,352
1600428812737,149,353
1600428812753,149,352
1600428812770,149,352
1600428812786,149,352
1600428812803,149,352
1600428812821,150,352
1600428812836,150,352
1600428812853,150,352
1600428812870,149,352
1600428812888,149,352
1600428812903,148,350
1600428812920,148,346
1600428812937,149,341
1600428812955,150,339
1600428812970,150,339
1600428812988,150,338
1600428813003,149,339
1600428813021,148,339
1600428813038,147,338
1600428813054,147,338
1600428813069,146,338
1600428813086,146,338
1600428813103,146,337
1600428813115,145,337
1600428813670,140,378
1600428813686,141,376
1600428813703,141,376
1600428813720,141,375
1600428813739,142,374
1600428813755,141,373
1600428813772,141,370
1600428813803,142,366
1600428813820,141,358
1600428813824,142,353
1600428813853,143,346
1600428813870,143,342
1600428813880,142,339
1600428813904,143,334
1600428813915,142,332
1600428813936,142,329
1600428813952,143,330
1600428813958,143,331
1600428813973,143,330
1600428814003,144,327
1600428814020,144,328
1600428814025,143,328
1600428814052,143,331
1600428814058,143,333
1600428814073,142,337
1600428814102,138,350
1600428814120,137,353
1600428814124,136,355
1600428814139,135,356
1600428814170,130,365
1600428814186,130,366
1600428814191,131,366
1600428814207,131,365
1600428814237,132,367
1600428814269,132,369
1600428814303,133,366
1600428814313,133,365
1600428814337,134,360
1600428814353,134,356
1600428814358,135,352
1600428814373,136,348
1600428814402,136,341
1600428814419,137,338
1600428814424,138,334
1600428814453,140,327
1600428814470,141,321
1600428814503,140,319
1600428814537,141,320
1600428814570,141,317
1600428814602,137,318
1600428814613,134,319
1600428814636,127,327
1600428814657,125,330
1600428814687,115,339
1600428814720,118,338
1600428814753,117,339
1600428814787,117,340
1600428814820,118,342
1600428814853,120,346
1600428814886,120,347
1600428814920,120,350
1600428814954,118,350
1600428814987,112,345
1600428815020,102,342
1600428815053,101,348
1600428815086,101,354
1600428815120,98,360
1600428815152,96,366
1600428815161,95,370
1600428815187,94,373
1600428815220,95,373
1600428815253,95,372
1600428815287,93,369
1600428815320,92,353
1600428815354,89,334
1600428815387,86,321
1600428815421,86,311
1600428815452,89,307
1600428815462,89,305
1600428815486,88,307
1600428815519,88,310
1600428815553,89,324
1600428815573,91,334
1600428815602,90,350
1600428815613,89,355
1600428815636,90,360
1600428815669,89,367
1600428815702,92,375
1600428815736,92,375
1600428815769,94,367
1600428815802,98,355
1600428815836,102,344
1600428815869,105,333
1600428815903,104,327
1600428815936,103,319
1600428815969,105,317
1600428815980,107,312
1600428816002,109,311
1600428816035,109,311
1600428816069,107,316
1600428816102,103,332
1600428816136,99,350
1600428816169,94,356
1600428816202,91,361
1600428816236,88,365
1600428816270,87,365
1600428816302,86,363
1600428816336,86,358
1600428816370,88,346
1600428816402,88,330
1600428816436,84,314
1600428816469,70,302
1600428816502,52,296
1600428816535,61,292
1600428816569,65,289
1600428816602,63,290
